timestamp,open,high,low,close,volume
2024-10-02 20:00:00,140.0,141.55,138.61,140.82,68963.626
2024-10-02 21:00:00,140.82,141.51,139.73,140.85,26221.208
2024-10-02 22:00:00,140.85,141.6,139.35,141.57,23460.634
2024-10-02 23:00:00,141.57,141.72,140.18,140.18,21081.145
2024-10-03 00:00:00,140.18,141.42,138.65,140.66,92401.088
2024-10-03 01:00:00,140.66,142.14,140.57,141.38,47076.506
2024-10-03 02:00:00,141.38,142.4,141.06,142.03,27373.128
2024-10-03 03:00:00,142.03,142.99,141.68,142.9,23740.254
2024-10-03 04:00:00,142.9,142.9,141.81,142.1,16372.278
2024-10-03 05:00:00,142.1,142.34,140.95,141.3,20795.878
2024-10-03 06:00:00,141.3,142.24,141.01,141.67,16332.497
2024-10-03 07:00:00,141.67,142.12,139.87,139.89,35316.616
2024-10-03 08:00:00,139.89,140.07,135.78,136.12,93579.455
2024-10-03 09:00:00,136.12,137.69,135.21,137.28,77805.184
2024-10-03 10:00:00,137.28,138.28,136.7,138.25,40335.256
2024-10-03 11:00:00,138.25,138.51,136.79,136.85,31292.289
2024-10-03 12:00:00,136.85,136.98,135.33,136.12,69366.072
2024-10-03 13:00:00,136.12,137.38,134.44,136.95,81723.537
2024-10-03 14:00:00,136.95,138.55,134.61,134.81,116503.885
2024-10-03 15:00:00,134.81,136.13,133.06,135.57,98060.801
2024-10-03 16:00:00,135.57,136.66,133.65,135.02,68104.921
2024-10-03 17:00:00,135.02,136.72,134.05,135.95,52364.615
2024-10-03 18:00:00,135.95,136.96,135.14,136.07,37351.401
2024-10-03 19:00:00,136.07,137.46,135.42,137.33,34701.305
2024-10-03 20:00:00,137.33,137.89,135.94,136.08,37089.154
2024-10-03 21:00:00,136.08,137.26,135.22,137.12,25547.907
2024-10-03 22:00:00,137.12,137.47,136.38,136.96,19243.12
2024-10-03 23:00:00,136.96,137.47,135.91,136.82,22593.98
2024-10-04 00:00:00,136.82,137.41,135.92,135.98,32098.553
2024-10-04 01:00:00,135.98,138.69,135.93,138.15,50653.1
2024-10-04 02:00:00,138.15,138.43,137.23,137.59,21374.278
2024-10-04 03:00:00,137.59,137.7,136.75,137.32,21337.608
2024-10-04 04:00:00,137.32,138.38,137.26,137.72,17267.796
2024-10-04 05:00:00,137.72,139.52,137.57,139.26,23756.951
2024-10-04 06:00:00,139.26,139.72,138.33,138.47,26705.543
2024-10-04 07:00:00,138.47,139.77,138.27,139.55,19191.865
2024-10-04 08:00:00,139.55,141.11,139.22,140.01,44203.088
2024-10-04 09:00:00,140.01,140.57,139.58,139.77,41685.031
2024-10-04 10:00:00,139.77,140.36,139.16,139.45,15178.358
2024-10-04 11:00:00,139.45,140.26,139.41,140.12,18924.939
2024-10-04 12:00:00,140.12,142.33,139.21,142.29,78121.914
2024-10-04 13:00:00,142.29,142.68,140.41,141.17,76780.486
2024-10-04 14:00:00,141.17,141.24,138.09,139.86,76372.849
2024-10-04 15:00:00,139.86,142.62,139.83,142.45,69064.627
2024-10-04 16:00:00,142.45,144.44,141.82,143.85,63521.811
2024-10-04 17:00:00,143.85,144.06,142.56,142.83,42155.722
2024-10-04 18:00:00,142.83,143.93,142.34,143.92,31695.065
2024-10-04 19:00:00,143.92,144.55,143.53,143.9,26512.891
2024-10-04 20:00:00,143.9,143.98,142.82,143.7,19543.625
2024-10-04 21:00:00,143.7,144.58,143.29,143.59,18863.434
2024-10-04 22:00:00,143.59,143.78,142.6,142.94,17647.911
2024-10-04 23:00:00,142.94,143.28,142.6,143.23,11855.328
2024-10-05 00:00:00,143.23,144.04,143.11,144.03,9978.755
2024-10-05 01:00:00,144.03,144.05,142.9,143.57,20076.908
2024-10-05 02:00:00,143.57,143.74,142.29,142.37,15182.373
2024-10-05 03:00:00,142.37,142.39,141.72,141.83,19736.999
2024-10-05 04:00:00,141.83,142.77,141.54,142.38,19072.899
2024-10-05 05:00:00,142.38,143.6,142.28,143.54,18271.501
2024-10-05 06:00:00,143.54,144.45,143.04,144.36,18145.094
2024-10-05 07:00:00,144.36,144.54,143.75,143.8,17575.694
2024-10-05 08:00:00,143.8,144.93,143.72,144.49,27674.823
2024-10-05 09:00:00,144.49,144.88,144.4,144.71,11991.667
2024-10-05 10:00:00,144.71,144.71,143.89,144.02,12529.934
2024-10-05 11:00:00,144.02,144.27,143.3,143.42,13240.095
2024-10-05 12:00:00,143.42,144.1,143.37,144.09,15747.676
2024-10-05 13:00:00,144.09,144.15,142.69,142.78,22918.532
2024-10-05 14:00:00,142.78,143.51,142.48,143.12,19564.344
2024-10-05 15:00:00,143.12,143.32,142.55,142.88,11767.368
2024-10-05 16:00:00,142.88,143.0,142.12,142.19,31315.014
2024-10-05 17:00:00,142.19,142.86,142.08,142.71,10970.399
2024-10-05 18:00:00,142.71,142.92,142.05,142.27,17886.763
2024-10-05 19:00:00,142.27,142.46,141.97,142.17,12748.2
2024-10-05 20:00:00,142.17,142.26,141.02,141.1,29726.82
2024-10-05 21:00:00,141.1,142.26,141.1,141.66,10624.825
2024-10-05 22:00:00,141.66,142.98,141.61,142.96,12792.093
2024-10-05 23:00:00,142.96,142.96,142.32,142.61,8784.663
2024-10-06 00:00:00,142.61,142.66,141.98,142.28,8713.136
2024-10-06 01:00:00,142.28,143.5,142.13,143.5,13502.291
2024-10-06 02:00:00,143.5,143.56,142.88,143.17,9923.61
2024-10-06 03:00:00,143.17,143.68,142.61,142.68,12877.804
2024-10-06 04:00:00,142.68,143.15,142.1,142.4,9224.85
2024-10-06 05:00:00,142.4,142.95,142.12,142.62,9813.429
2024-10-06 06:00:00,142.62,143.37,142.54,143.03,7617.275
2024-10-06 07:00:00,143.03,143.44,142.79,142.96,9029.599
2024-10-06 08:00:00,142.96,143.48,142.61,143.31,9639.578
2024-10-06 09:00:00,143.31,144.22,143.27,143.77,12425.176
2024-10-06 10:00:00,143.77,144.04,143.36,143.57,9172.29
